"run","tick","AgentType","X","Y"
17,1.0,"HUMAN",41,40
17,1.0,"HUMAN",45,24
17,1.0,"HUMAN",29,31
17,1.0,"HUMAN",8,2
17,1.0,"HUMAN",36,28
17,1.0,"HUMAN",44,42
17,1.0,"HUMAN",34,49
17,1.0,"HUMAN",41,31
17,1.0,"HUMAN",20,18
17,1.0,"HUMAN",39,38
17,1.0,"HUMAN",41,36
17,1.0,"HUMAN",11,49
17,1.0,"HUMAN",6,11
17,1.0,"HUMAN",12,1
17,1.0,"HUMAN",0,0
17,1.0,"HUMAN",34,35
17,1.0,"HUMAN",33,18
17,1.0,"HUMAN",9,7
17,1.0,"HUMAN",23,18
17,1.0,"HUMAN",4,36
17,1.0,"HUMAN",1,4
17,1.0,"HUMAN",41,23
17,1.0,"HUMAN",34,3
17,1.0,"HUMAN",33,37
17,1.0,"HUMAN",1,43
17,1.0,"ZOMBIE",35,38
17,1.0,"HUMAN",10,42
17,1.0,"HUMAN",19,11
17,1.0,"HUMAN",23,42
17,1.0,"HUMAN",44,27
17,1.0,"HUMAN",24,9
17,1.0,"HUMAN",28,6
17,1.0,"HUMAN",3,47
17,1.0,"ZOMBIE",23,36
17,1.0,"HUMAN",47,49
17,1.0,"HUMAN",39,14
17,1.0,"HUMAN",32,37
17,1.0,"HUMAN",21,3
17,1.0,"HUMAN",10,41
17,1.0,"HUMAN",1,41
17,1.0,"HUMAN",19,42
17,1.0,"HUMAN",17,49
17,1.0,"HUMAN",24,34
17,1.0,"HUMAN",1,5
17,1.0,"HUMAN",24,41
17,1.0,"HUMAN",45,3
17,1.0,"HUMAN",45,47
17,1.0,"HUMAN",24,40
17,1.0,"HUMAN",16,3
17,1.0,"HUMAN",16,23
17,1.0,"HUMAN",45,2
17,1.0,"HUMAN",24,20
17,1.0,"HUMAN",39,10
17,1.0,"HUMAN",26,33
17,1.0,"HUMAN",33,17
17,1.0,"HUMAN",27,10
17,1.0,"HUMAN",22,31
17,1.0,"HUMAN",17,32
17,1.0,"HUMAN",41,29
17,1.0,"HUMAN",20,17
17,1.0,"HUMAN",47,29
17,1.0,"ZOMBIE",48,5
17,1.0,"HUMAN",49,28
17,1.0,"HUMAN",0,30
17,1.0,"HUMAN",7,3
17,1.0,"HUMAN",28,16
17,1.0,"HUMAN",41,20
17,1.0,"HUMAN",43,6
17,1.0,"HUMAN",48,16
17,1.0,"HUMAN",45,19
17,1.0,"HUMAN",6,35
17,1.0,"HUMAN",7,25
17,1.0,"HUMAN",49,30
17,1.0,"HUMAN",7,45
17,1.0,"HUMAN",1,41
17,1.0,"HUMAN",25,27
17,1.0,"HUMAN",39,41
17,1.0,"HUMAN",13,18
17,1.0,"HUMAN",36,8
17,1.0,"HUMAN",5,30
17,1.0,"HUMAN",11,32
17,1.0,"ZOMBIE",48,5
17,1.0,"HUMAN",33,22
17,1.0,"ZOMBIE",28,11
17,1.0,"HUMAN",22,47
17,1.0,"HUMAN",20,23
17,1.0,"HUMAN",37,6
17,1.0,"HUMAN",35,21
17,1.0,"HUMAN",18,37
17,1.0,"HUMAN",10,20
17,1.0,"HUMAN",37,44
17,1.0,"HUMAN",27,4
17,1.0,"HUMAN",45,10
17,1.0,"ZOMBIE",38,48
17,1.0,"HUMAN",7,38
17,1.0,"HUMAN",15,45
17,1.0,"HUMAN",18,48
17,1.0,"ZOMBIE",26,5
17,1.0,"HUMAN",2,4
17,1.0,"HUMAN",20,29
17,1.0,"HUMAN",1,35
17,1.0,"HUMAN",21,46
17,1.0,"HUMAN",32,41
17,1.0,"HUMAN",0,26
17,1.0,"HUMAN",36,7
17,1.0,"ZOMBIE",41,11
17,1.0,"HUMAN",33,34
17,1.0,"HUMAN",34,20
17,1.0,"HUMAN",48,49
17,1.0,"HUMAN",42,34
17,1.0,"HUMAN",31,2
17,1.0,"HUMAN",38,39
17,1.0,"HUMAN",16,21
17,1.0,"HUMAN",6,4
17,1.0,"HUMAN",29,14
17,1.0,"HUMAN",28,3
17,1.0,"HUMAN",34,3
17,1.0,"HUMAN",3,7
17,1.0,"HUMAN",33,10
17,1.0,"HUMAN",0,36
17,1.0,"HUMAN",37,32
17,1.0,"HUMAN",49,48
17,1.0,"HUMAN",19,34
17,1.0,"HUMAN",41,16
17,1.0,"HUMAN",48,7
17,1.0,"HUMAN",7,17
17,1.0,"HUMAN",44,25
17,1.0,"HUMAN",20,26
17,1.0,"HUMAN",46,40
17,1.0,"HUMAN",16,18
17,1.0,"HUMAN",38,1
17,1.0,"HUMAN",30,42
17,1.0,"HUMAN",37,43
17,1.0,"HUMAN",36,21
17,1.0,"HUMAN",10,24
17,1.0,"HUMAN",21,31
17,1.0,"HUMAN",20,3
17,1.0,"HUMAN",16,9
17,1.0,"HUMAN",16,48
17,1.0,"HUMAN",44,18
17,1.0,"HUMAN",40,48
17,1.0,"HUMAN",0,45
17,1.0,"HUMAN",1,37
17,1.0,"HUMAN",45,27
17,1.0,"HUMAN",25,35
17,1.0,"HUMAN",1,37
17,1.0,"HUMAN",26,38
17,1.0,"HUMAN",42,14
17,1.0,"HUMAN",4,11
17,1.0,"HUMAN",0,22
17,1.0,"HUMAN",22,10
17,1.0,"HUMAN",49,33
17,1.0,"HUMAN",29,28
17,1.0,"HUMAN",32,26
17,1.0,"HUMAN",6,25
17,1.0,"HUMAN",13,26
17,1.0,"HUMAN",36,15
17,1.0,"HUMAN",16,38
17,1.0,"HUMAN",16,18
17,1.0,"HUMAN",27,42
17,1.0,"HUMAN",24,32
17,1.0,"HUMAN",41,4
17,1.0,"ZOMBIE",41,11
17,1.0,"HUMAN",24,16
17,1.0,"HUMAN",23,8
17,1.0,"HUMAN",30,24
17,1.0,"HUMAN",30,36
17,1.0,"ZOMBIE",7,13
17,1.0,"HUMAN",14,11
17,1.0,"HUMAN",44,16
17,1.0,"HUMAN",19,46
17,1.0,"HUMAN",5,16
17,1.0,"HUMAN",40,5
17,1.0,"HUMAN",25,17
17,1.0,"HUMAN",29,47
17,1.0,"HUMAN",3,1
17,1.0,"HUMAN",4,18
17,1.0,"HUMAN",9,36
17,1.0,"HUMAN",37,9
17,1.0,"ZOMBIE",36,38
17,1.0,"HUMAN",47,18
17,1.0,"HUMAN",48,33
17,1.0,"HUMAN",11,34
17,1.0,"HUMAN",9,44
17,1.0,"HUMAN",21,23
17,1.0,"HUMAN",3,3
17,1.0,"HUMAN",20,28
17,1.0,"HUMAN",1,30
17,1.0,"HUMAN",36,11
17,1.0,"HUMAN",2,38
17,1.0,"HUMAN",34,0
17,1.0,"HUMAN",33,34
17,1.0,"HUMAN",37,49
17,1.0,"HUMAN",48,22
17,1.0,"HUMAN",30,2
17,1.0,"HUMAN",36,42
17,1.0,"HUMAN",29,31
17,1.0,"HUMAN",33,25
17,1.0,"HUMAN",29,24
17,1.0,"HUMAN",30,40
17,1.0,"HUMAN",48,8
17,1.0,"HUMAN",2,9
17,1.0,"HUMAN",40,40
17,1.0,"HUMAN",6,44
17,1.0,"HUMAN",30,45
17,1.0,"ZOMBIE",7,32
17,1.0,"HUMAN",38,31
17,1.0,"HUMAN",18,34
17,1.0,"HUMAN",34,41
17,1.0,"HUMAN",36,33
17,2.0,"HUMAN",41,40
17,2.0,"HUMAN",45,24
17,2.0,"HUMAN",29,31
17,2.0,"HUMAN",8,2
17,2.0,"HUMAN",36,28
17,2.0,"HUMAN",44,42
17,2.0,"HUMAN",34,49
17,2.0,"HUMAN",41,31
17,2.0,"HUMAN",20,18
17,2.0,"HUMAN",39,38
17,2.0,"HUMAN",41,36
17,2.0,"HUMAN",11,49
17,2.0,"HUMAN",12,1
17,2.0,"HUMAN",0,0
17,2.0,"HUMAN",34,35
17,2.0,"HUMAN",33,18
17,2.0,"HUMAN",9,7
17,2.0,"ZOMBIE",27,10
17,2.0,"HUMAN",23,18
17,2.0,"HUMAN",4,36
17,2.0,"HUMAN",1,4
17,2.0,"HUMAN",41,23
17,2.0,"HUMAN",34,3
17,2.0,"HUMAN",33,37
17,2.0,"HUMAN",1,43
17,2.0,"ZOMBIE",35,38
17,2.0,"HUMAN",10,42
17,2.0,"HUMAN",19,11
17,2.0,"HUMAN",23,42
17,2.0,"HUMAN",44,27
17,2.0,"HUMAN",24,9
17,2.0,"HUMAN",28,6
17,2.0,"HUMAN",3,47
17,2.0,"ZOMBIE",23,35
17,2.0,"HUMAN",47,49
17,2.0,"HUMAN",39,14
17,2.0,"HUMAN",32,37
17,2.0,"HUMAN",21,3
17,2.0,"HUMAN",10,41
17,2.0,"HUMAN",1,41
17,2.0,"HUMAN",19,42
17,2.0,"HUMAN",17,49
17,2.0,"HUMAN",24,34
17,2.0,"HUMAN",1,5
17,2.0,"HUMAN",24,41
17,2.0,"HUMAN",45,3
17,2.0,"HUMAN",45,47
17,2.0,"HUMAN",24,40
17,2.0,"HUMAN",16,3
17,2.0,"HUMAN",16,23
17,2.0,"HUMAN",45,2
17,2.0,"HUMAN",24,20
17,2.0,"HUMAN",39,10
17,2.0,"HUMAN",26,33
17,2.0,"HUMAN",33,17
17,2.0,"HUMAN",22,31
17,2.0,"HUMAN",17,32
17,2.0,"HUMAN",41,29
17,2.0,"HUMAN",20,17
17,2.0,"HUMAN",47,29
17,2.0,"ZOMBIE",49,6
17,2.0,"HUMAN",49,28
17,2.0,"HUMAN",0,30
17,2.0,"HUMAN",7,3
17,2.0,"HUMAN",28,16
17,2.0,"HUMAN",41,20
17,2.0,"HUMAN",43,6
17,2.0,"HUMAN",48,16
17,2.0,"HUMAN",45,19
17,2.0,"HUMAN",6,35
17,2.0,"HUMAN",7,25
17,2.0,"HUMAN",49,30
17,2.0,"HUMAN",7,45
17,2.0,"HUMAN",1,41
