"run","tick","human_count","zombie_count"
22,1.0,198,12
22,2.0,196,14
22,3.0,196,14
22,4.0,193,17
22,5.0,191,19
22,6.0,187,23
22,7.0,184,26
22,8.0,182,28
22,9.0,180,30
22,10.0,177,33
22,11.0,173,37
22,12.0,172,38
22,13.0,169,41
22,14.0,168,42
22,15.0,166,44
22,16.0,164,46
22,17.0,163,47
22,18.0,162,48
22,19.0,159,51
22,20.0,156,54
22,21.0,154,56
22,22.0,151,59
22,23.0,148,62
22,24.0,146,64
22,25.0,140,70
22,26.0,132,78
22,27.0,128,82
22,28.0,121,89
22,29.0,117,93
22,30.0,115,95
22,31.0,110,100
22,32.0,108,102
22,33.0,104,106
22,34.0,99,111
22,35.0,91,119
22,36.0,87,123
22,37.0,83,127
22,38.0,80,130
22,39.0,76,134
22,40.0,76,134
22,41.0,74,136
22,42.0,72,138
22,43.0,65,145
22,44.0,61,149
22,45.0,56,154
22,46.0,53,157
22,47.0,51,159
22,48.0,49,161
22,49.0,41,169
22,50.0,39,171
22,51.0,37,173
22,52.0,34,176
22,53.0,33,177
22,54.0,30,180
22,55.0,26,184
22,56.0,22,188
22,57.0,19,191
22,58.0,17,193
22,59.0,14,196
22,60.0,10,200
22,61.0,10,200
22,62.0,9,201
22,63.0,8,202
22,64.0,7,203
22,65.0,6,204
22,66.0,6,204
22,67.0,6,204
22,68.0,6,204
22,69.0,6,204
22,70.0,5,205
22,71.0,5,205
22,72.0,4,206
22,73.0,3,207
22,74.0,3,207
22,75.0,2,208
22,76.0,2,208
22,77.0,2,208
22,78.0,2,208
22,79.0,2,208
22,80.0,1,209
22,81.0,1,209
22,82.0,1,209
22,83.0,0,210
22,84.0,0,210
22,85.0,0,210
22,86.0,0,210
22,87.0,0,210
22,88.0,0,210
22,89.0,0,210
22,90.0,0,210
22,91.0,0,210
22,92.0,0,210
22,93.0,0,210
22,94.0,0,210
22,95.0,0,210
22,96.0,0,210
22,97.0,0,210
22,98.0,0,210
22,99.0,0,210
22,100.0,0,210
22,101.0,0,210
22,102.0,0,210
22,103.0,0,210
22,104.0,0,210
22,105.0,0,210
22,106.0,0,210
22,107.0,0,210
22,108.0,0,210
22,109.0,0,210
22,110.0,0,210
22,111.0,0,210
22,112.0,0,210
22,113.0,0,210
22,114.0,0,210
22,115.0,0,210
22,116.0,0,210
22,117.0,0,210
22,118.0,0,210
22,119.0,0,210
22,120.0,0,210
22,121.0,0,210
22,122.0,0,210
22,123.0,0,210
22,124.0,0,210
22,125.0,0,210
22,126.0,0,210
22,127.0,0,210
22,128.0,0,210
22,129.0,0,210
22,130.0,0,210
22,131.0,0,210
22,132.0,0,210
22,133.0,0,210
22,134.0,0,210
22,135.0,0,210
22,136.0,0,210
22,137.0,0,210
22,138.0,0,210
22,139.0,0,210
22,140.0,0,210
22,141.0,0,210
22,142.0,0,210
22,143.0,0,210
22,144.0,0,210
22,145.0,0,210
22,146.0,0,210
22,147.0,0,210
22,148.0,0,210
22,149.0,0,210
22,150.0,0,210
