"run","tick","AgentType","X","Y"
11,1.0,"HUMAN",41,40
11,1.0,"HUMAN",45,24
11,1.0,"HUMAN",29,31
11,1.0,"HUMAN",8,2
11,1.0,"HUMAN",36,28
11,1.0,"HUMAN",44,42
11,1.0,"HUMAN",34,49
11,1.0,"HUMAN",41,31
11,1.0,"HUMAN",20,18
11,1.0,"HUMAN",39,38
11,1.0,"HUMAN",41,36
11,1.0,"HUMAN",11,49
11,1.0,"HUMAN",6,11
11,1.0,"HUMAN",12,1
11,1.0,"HUMAN",0,0
11,1.0,"HUMAN",34,35
11,1.0,"HUMAN",33,18
11,1.0,"ZOMBIE",38,39
11,1.0,"HUMAN",9,7
11,1.0,"HUMAN",23,18
11,1.0,"HUMAN",4,36
11,1.0,"HUMAN",1,4
11,1.0,"HUMAN",41,23
11,1.0,"HUMAN",34,3
11,1.0,"HUMAN",33,37
11,1.0,"HUMAN",1,43
11,1.0,"ZOMBIE",36,39
11,1.0,"HUMAN",10,42
11,1.0,"HUMAN",19,11
11,1.0,"HUMAN",23,42
11,1.0,"HUMAN",44,27
11,1.0,"HUMAN",24,9
11,1.0,"HUMAN",28,6
11,1.0,"HUMAN",3,47
11,1.0,"ZOMBIE",23,36
11,1.0,"HUMAN",47,49
11,1.0,"HUMAN",39,14
11,1.0,"HUMAN",32,37
11,1.0,"HUMAN",21,3
11,1.0,"HUMAN",10,41
11,1.0,"HUMAN",1,41
11,1.0,"HUMAN",19,42
11,1.0,"HUMAN",17,49
11,1.0,"HUMAN",24,34
11,1.0,"HUMAN",1,5
11,1.0,"HUMAN",24,41
11,1.0,"HUMAN",45,3
11,1.0,"HUMAN",45,47
11,1.0,"HUMAN",24,40
11,1.0,"HUMAN",16,3
11,1.0,"HUMAN",16,23
11,1.0,"HUMAN",45,2
11,1.0,"HUMAN",24,20
11,1.0,"HUMAN",41,12
11,1.0,"HUMAN",26,33
11,1.0,"HUMAN",33,17
11,1.0,"HUMAN",27,10
11,1.0,"HUMAN",22,31
11,1.0,"HUMAN",17,32
11,1.0,"HUMAN",41,29
11,1.0,"HUMAN",20,17
11,1.0,"HUMAN",47,29
11,1.0,"HUMAN",49,28
11,1.0,"HUMAN",0,30
11,1.0,"HUMAN",7,3
11,1.0,"HUMAN",28,16
11,1.0,"HUMAN",41,20
11,1.0,"HUMAN",43,6
11,1.0,"HUMAN",48,16
11,1.0,"HUMAN",45,19
11,1.0,"HUMAN",6,35
11,1.0,"HUMAN",7,25
11,1.0,"HUMAN",49,30
11,1.0,"HUMAN",7,45
11,1.0,"HUMAN",1,41
11,1.0,"HUMAN",25,27
11,1.0,"HUMAN",39,41
11,1.0,"HUMAN",13,18
11,1.0,"HUMAN",36,8
11,1.0,"HUMAN",5,30
11,1.0,"HUMAN",11,32
11,1.0,"ZOMBIE",48,5
11,1.0,"HUMAN",33,22
11,1.0,"ZOMBIE",26,11
11,1.0,"HUMAN",22,47
11,1.0,"HUMAN",20,23
11,1.0,"ZOMBIE",48,5
11,1.0,"HUMAN",37,6
11,1.0,"HUMAN",35,21
11,1.0,"HUMAN",18,37
11,1.0,"HUMAN",10,20
11,1.0,"HUMAN",37,44
11,1.0,"HUMAN",27,4
11,1.0,"HUMAN",45,10
11,1.0,"ZOMBIE",37,49
11,1.0,"HUMAN",7,38
11,1.0,"HUMAN",15,45
11,1.0,"HUMAN",18,48
11,1.0,"ZOMBIE",25,4
11,1.0,"HUMAN",2,4
11,1.0,"HUMAN",20,29
11,1.0,"HUMAN",1,35
11,1.0,"HUMAN",21,46
11,1.0,"HUMAN",32,41
11,1.0,"HUMAN",0,26
11,1.0,"HUMAN",36,7
11,1.0,"ZOMBIE",40,11
11,1.0,"HUMAN",33,34
11,1.0,"HUMAN",34,20
11,1.0,"HUMAN",48,49
11,1.0,"HUMAN",42,34
11,1.0,"HUMAN",31,2
11,1.0,"HUMAN",16,21
11,1.0,"HUMAN",6,4
11,1.0,"HUMAN",29,14
11,1.0,"HUMAN",28,3
11,1.0,"HUMAN",34,3
11,1.0,"HUMAN",3,7
11,1.0,"HUMAN",33,10
11,1.0,"HUMAN",0,36
11,1.0,"HUMAN",37,32
11,1.0,"HUMAN",49,48
11,1.0,"HUMAN",19,34
11,1.0,"HUMAN",41,16
11,1.0,"HUMAN",48,7
11,1.0,"HUMAN",7,17
11,1.0,"HUMAN",44,25
11,1.0,"HUMAN",20,26
11,1.0,"HUMAN",46,40
11,1.0,"HUMAN",16,18
11,1.0,"HUMAN",38,1
11,1.0,"HUMAN",30,42
11,1.0,"HUMAN",37,43
11,1.0,"HUMAN",36,21
11,1.0,"HUMAN",10,24
11,1.0,"HUMAN",21,31
11,1.0,"HUMAN",20,3
11,1.0,"HUMAN",16,9
11,1.0,"HUMAN",16,48
11,1.0,"HUMAN",44,18
11,1.0,"HUMAN",40,48
11,1.0,"HUMAN",0,45
11,1.0,"HUMAN",1,37
11,1.0,"HUMAN",45,27
11,1.0,"HUMAN",25,35
11,1.0,"HUMAN",1,37
11,1.0,"HUMAN",26,38
11,1.0,"HUMAN",42,14
11,1.0,"HUMAN",4,11
11,1.0,"HUMAN",0,22
11,1.0,"HUMAN",22,10
11,1.0,"HUMAN",49,33
11,1.0,"HUMAN",29,28
11,1.0,"ZOMBIE",36,39
11,1.0,"HUMAN",32,26
11,1.0,"HUMAN",6,25
11,1.0,"HUMAN",13,26
11,1.0,"HUMAN",36,15
11,1.0,"HUMAN",16,38
11,1.0,"HUMAN",16,18
11,1.0,"HUMAN",27,42
11,1.0,"HUMAN",24,32
11,1.0,"HUMAN",41,4
11,1.0,"HUMAN",24,16
11,1.0,"HUMAN",23,8
11,1.0,"HUMAN",30,24
11,1.0,"HUMAN",30,36
11,1.0,"ZOMBIE",9,12
11,1.0,"HUMAN",14,11
11,1.0,"HUMAN",44,16
11,1.0,"HUMAN",19,46
