"run","tick","AgentType","X","Y"
16,1.0,"HUMAN",41,40
16,1.0,"HUMAN",45,24
16,1.0,"HUMAN",29,31
16,1.0,"HUMAN",8,2
16,1.0,"HUMAN",36,28
16,1.0,"HUMAN",44,42
16,1.0,"ZOMBIE",48,5
16,1.0,"HUMAN",34,49
16,1.0,"HUMAN",41,31
16,1.0,"HUMAN",20,18
16,1.0,"HUMAN",39,38
16,1.0,"HUMAN",41,36
16,1.0,"HUMAN",11,49
16,1.0,"HUMAN",6,11
16,1.0,"HUMAN",12,1
16,1.0,"HUMAN",0,0
16,1.0,"ZOMBIE",36,39
16,1.0,"HUMAN",34,35
16,1.0,"HUMAN",33,18
16,1.0,"HUMAN",9,7
16,1.0,"HUMAN",23,18
16,1.0,"HUMAN",4,36
16,1.0,"HUMAN",1,4
16,1.0,"HUMAN",41,23
16,1.0,"HUMAN",34,3
16,1.0,"HUMAN",33,37
16,1.0,"HUMAN",1,43
16,1.0,"ZOMBIE",36,39
16,1.0,"HUMAN",10,42
16,1.0,"HUMAN",19,11
16,1.0,"HUMAN",23,42
16,1.0,"HUMAN",44,27
16,1.0,"HUMAN",24,9
16,1.0,"HUMAN",28,6
16,1.0,"HUMAN",3,47
16,1.0,"ZOMBIE",23,36
16,1.0,"HUMAN",47,49
16,1.0,"HUMAN",39,14
16,1.0,"HUMAN",32,37
16,1.0,"HUMAN",21,3
16,1.0,"HUMAN",10,41
16,1.0,"HUMAN",1,41
16,1.0,"HUMAN",19,42
16,1.0,"HUMAN",17,49
16,1.0,"HUMAN",24,34
16,1.0,"HUMAN",1,5
16,1.0,"HUMAN",24,41
16,1.0,"HUMAN",45,3
16,1.0,"HUMAN",45,47
16,1.0,"HUMAN",24,40
16,1.0,"HUMAN",16,3
16,1.0,"HUMAN",16,23
16,1.0,"HUMAN",45,2
16,1.0,"HUMAN",24,20
16,1.0,"HUMAN",41,12
16,1.0,"HUMAN",26,33
16,1.0,"HUMAN",33,17
16,1.0,"HUMAN",27,10
16,1.0,"HUMAN",22,31
16,1.0,"HUMAN",17,32
16,1.0,"HUMAN",41,29
16,1.0,"HUMAN",20,17
16,1.0,"HUMAN",47,29
16,1.0,"HUMAN",49,28
16,1.0,"HUMAN",0,30
16,1.0,"HUMAN",7,3
16,1.0,"HUMAN",28,16
16,1.0,"HUMAN",41,20
16,1.0,"HUMAN",43,6
16,1.0,"HUMAN",48,16
16,1.0,"ZOMBIE",37,49
16,1.0,"HUMAN",45,19
16,1.0,"HUMAN",6,35
16,1.0,"HUMAN",7,25
16,1.0,"HUMAN",49,30
16,1.0,"HUMAN",7,45
16,1.0,"HUMAN",1,41
16,1.0,"HUMAN",25,27
16,1.0,"HUMAN",39,41
16,1.0,"HUMAN",13,18
16,1.0,"HUMAN",36,8
16,1.0,"HUMAN",5,30
16,1.0,"HUMAN",11,32
16,1.0,"ZOMBIE",48,5
16,1.0,"HUMAN",33,22
16,1.0,"ZOMBIE",26,11
16,1.0,"HUMAN",22,47
16,1.0,"HUMAN",20,23
16,1.0,"HUMAN",37,6
16,1.0,"HUMAN",35,21
16,1.0,"HUMAN",18,37
16,1.0,"HUMAN",10,20
16,1.0,"HUMAN",37,44
16,1.0,"HUMAN",27,4
16,1.0,"HUMAN",45,10
16,1.0,"ZOMBIE",37,49
16,1.0,"HUMAN",7,38
16,1.0,"HUMAN",15,45
16,1.0,"HUMAN",18,48
16,1.0,"ZOMBIE",25,4
16,1.0,"HUMAN",2,4
16,1.0,"HUMAN",20,29
16,1.0,"HUMAN",1,35
16,1.0,"HUMAN",21,46
16,1.0,"HUMAN",32,41
16,1.0,"HUMAN",0,26
16,1.0,"HUMAN",36,7
16,1.0,"ZOMBIE",40,11
16,1.0,"HUMAN",33,34
16,1.0,"HUMAN",34,20
16,1.0,"HUMAN",48,49
16,1.0,"HUMAN",42,34
16,1.0,"HUMAN",31,2
16,1.0,"HUMAN",16,21
16,1.0,"HUMAN",6,4
16,1.0,"HUMAN",29,14
16,1.0,"HUMAN",28,3
16,1.0,"HUMAN",34,3
16,1.0,"HUMAN",3,7
16,1.0,"HUMAN",33,10
16,1.0,"HUMAN",0,36
16,1.0,"HUMAN",37,32
16,1.0,"HUMAN",49,48
16,1.0,"HUMAN",19,34
16,1.0,"HUMAN",41,16
16,1.0,"HUMAN",48,7
16,1.0,"HUMAN",7,17
16,1.0,"HUMAN",44,25
16,1.0,"HUMAN",20,26
16,1.0,"HUMAN",46,40
16,1.0,"HUMAN",16,18
16,1.0,"HUMAN",38,1
16,1.0,"HUMAN",30,42
16,1.0,"HUMAN",37,43
16,1.0,"HUMAN",36,21
16,1.0,"HUMAN",10,24
16,1.0,"HUMAN",21,31
16,1.0,"HUMAN",20,3
16,1.0,"HUMAN",16,9
16,1.0,"HUMAN",16,48
16,1.0,"HUMAN",44,18
16,1.0,"HUMAN",40,48
16,1.0,"HUMAN",0,45
16,1.0,"HUMAN",1,37
16,1.0,"HUMAN",45,27
16,1.0,"HUMAN",25,35
16,1.0,"HUMAN",1,37
16,1.0,"HUMAN",26,38
16,1.0,"HUMAN",42,14
16,1.0,"HUMAN",4,11
16,1.0,"HUMAN",0,22
16,1.0,"HUMAN",22,10
16,1.0,"HUMAN",49,33
16,1.0,"HUMAN",29,28
16,1.0,"HUMAN",32,26
16,1.0,"HUMAN",6,25
16,1.0,"HUMAN",13,26
16,1.0,"HUMAN",36,15
16,1.0,"HUMAN",16,38
16,1.0,"HUMAN",16,18
16,1.0,"HUMAN",27,42
16,1.0,"HUMAN",24,32
16,1.0,"HUMAN",41,4
16,1.0,"HUMAN",24,16
16,1.0,"HUMAN",23,8
16,1.0,"HUMAN",30,24
16,1.0,"HUMAN",30,36
16,1.0,"ZOMBIE",9,12
16,1.0,"HUMAN",14,11
16,1.0,"HUMAN",44,16
16,1.0,"HUMAN",19,46
16,1.0,"HUMAN",5,16
16,1.0,"HUMAN",40,5
16,1.0,"HUMAN",25,17
16,1.0,"HUMAN",29,47
16,1.0,"HUMAN",3,1
16,1.0,"HUMAN",4,18
16,1.0,"HUMAN",9,36
16,1.0,"HUMAN",37,9
16,1.0,"ZOMBIE",38,39
16,1.0,"HUMAN",47,18
16,1.0,"ZOMBIE",38,39
16,1.0,"HUMAN",48,33
16,1.0,"HUMAN",11,34
16,1.0,"HUMAN",9,44
16,1.0,"HUMAN",21,23
16,1.0,"HUMAN",3,3
16,1.0,"HUMAN",20,28
16,1.0,"HUMAN",1,30
16,1.0,"HUMAN",36,11
16,1.0,"HUMAN",42,14
16,1.0,"HUMAN",2,38
16,1.0,"HUMAN",38,49
16,1.0,"HUMAN",33,34
16,1.0,"HUMAN",48,22
16,1.0,"HUMAN",30,2
16,1.0,"HUMAN",36,42
16,1.0,"HUMAN",29,31
16,1.0,"HUMAN",33,25
16,1.0,"HUMAN",29,24
16,1.0,"HUMAN",30,40
16,1.0,"HUMAN",48,8
16,1.0,"HUMAN",2,9
16,1.0,"HUMAN",40,40
16,1.0,"HUMAN",6,44
16,1.0,"HUMAN",30,45
16,1.0,"ZOMBIE",7,32
16,1.0,"HUMAN",38,31
16,1.0,"HUMAN",18,34
16,1.0,"HUMAN",36,33
16,2.0,"HUMAN",41,40
16,2.0,"HUMAN",45,24
16,2.0,"HUMAN",29,31
16,2.0,"HUMAN",8,2
16,2.0,"HUMAN",36,28
16,2.0,"HUMAN",44,42
16,2.0,"ZOMBIE",49,4
16,2.0,"HUMAN",34,49
16,2.0,"HUMAN",41,31
16,2.0,"HUMAN",20,18
16,2.0,"HUMAN",33,39
16,2.0,"HUMAN",41,36
16,2.0,"HUMAN",11,49
16,2.0,"HUMAN",6,11
16,2.0,"HUMAN",12,1
16,2.0,"HUMAN",0,0
16,2.0,"ZOMBIE",35,38
16,2.0,"HUMAN",34,35
16,2.0,"HUMAN",33,18
16,2.0,"HUMAN",9,7
16,2.0,"HUMAN",23,18
16,2.0,"HUMAN",4,36
16,2.0,"HUMAN",1,4
16,2.0,"HUMAN",41,23
16,2.0,"HUMAN",34,3
16,2.0,"HUMAN",33,37
16,2.0,"HUMAN",1,43
16,2.0,"ZOMBIE",35,39
16,2.0,"HUMAN",10,42
16,2.0,"HUMAN",19,11
16,2.0,"HUMAN",23,42
16,2.0,"HUMAN",44,27
16,2.0,"HUMAN",24,9
16,2.0,"HUMAN",28,6
16,2.0,"HUMAN",3,47
16,2.0,"ZOMBIE",22,37
16,2.0,"HUMAN",47,49
16,2.0,"HUMAN",39,14
16,2.0,"HUMAN",32,37
16,2.0,"HUMAN",21,3
16,2.0,"HUMAN",10,41
16,2.0,"HUMAN",1,41
16,2.0,"HUMAN",19,42
16,2.0,"HUMAN",17,49
16,2.0,"HUMAN",24,34
16,2.0,"HUMAN",1,5
16,2.0,"HUMAN",24,41
16,2.0,"HUMAN",45,3
16,2.0,"HUMAN",45,47
16,2.0,"HUMAN",24,40
16,2.0,"HUMAN",16,3
16,2.0,"HUMAN",16,23
16,2.0,"HUMAN",45,2
16,2.0,"HUMAN",24,20
16,2.0,"HUMAN",26,33
16,2.0,"HUMAN",33,17
16,2.0,"HUMAN",28,6
16,2.0,"HUMAN",22,31
16,2.0,"HUMAN",17,32
16,2.0,"HUMAN",41,29
16,2.0,"HUMAN",20,17
16,2.0,"HUMAN",47,29
16,2.0,"HUMAN",49,28
16,2.0,"HUMAN",0,30
16,2.0,"HUMAN",7,3
16,2.0,"HUMAN",28,16
16,2.0,"HUMAN",41,20
16,2.0,"HUMAN",43,6
16,2.0,"HUMAN",48,16
16,2.0,"ZOMBIE",37,49
16,2.0,"HUMAN",45,19
16,2.0,"HUMAN",6,35
16,2.0,"HUMAN",7,25
16,2.0,"HUMAN",49,30
16,2.0,"HUMAN",7,45
16,2.0,"HUMAN",1,41
16,2.0,"HUMAN",25,27
16,2.0,"HUMAN",39,41
16,2.0,"HUMAN",13,18
16,2.0,"HUMAN",36,8
16,2.0,"HUMAN",5,30
16,2.0,"HUMAN",11,32
16,2.0,"ZOMBIE",48,4
16,2.0,"HUMAN",33,22
16,2.0,"ZOMBIE",26,10
16,2.0,"HUMAN",22,47
16,2.0,"HUMAN",20,23
16,2.0,"HUMAN",37,6
16,2.0,"HUMAN",35,21
16,2.0,"HUMAN",18,37
16,2.0,"HUMAN",10,20
16,2.0,"HUMAN",37,44
16,2.0,"HUMAN",27,4
16,2.0,"HUMAN",45,10
16,2.0,"ZOMBIE",38,48
16,2.0,"HUMAN",7,38
16,2.0,"HUMAN",15,45
16,2.0,"HUMAN",18,48
16,2.0,"ZOMBIE",25,4
16,2.0,"HUMAN",2,4
16,2.0,"HUMAN",20,29
16,2.0,"HUMAN",1,35
16,2.0,"HUMAN",21,46
16,2.0,"HUMAN",32,41
16,2.0,"HUMAN",0,26
16,2.0,"HUMAN",36,7
16,2.0,"ZOMBIE",41,12
16,2.0,"HUMAN",33,34
16,2.0,"HUMAN",34,20
16,2.0,"HUMAN",48,49
16,2.0,"HUMAN",42,34
16,2.0,"HUMAN",31,2
16,2.0,"HUMAN",16,21
16,2.0,"HUMAN",6,4
16,2.0,"HUMAN",29,14
16,2.0,"HUMAN",28,3
16,2.0,"HUMAN",34,3
16,2.0,"HUMAN",3,7
16,2.0,"HUMAN",33,10
16,2.0,"HUMAN",0,36
16,2.0,"HUMAN",37,32
16,2.0,"HUMAN",49,48
16,2.0,"HUMAN",19,34
16,2.0,"HUMAN",41,16
16,2.0,"HUMAN",48,7
16,2.0,"HUMAN",7,17
16,2.0,"HUMAN",44,25
16,2.0,"HUMAN",20,26
