"run","tick","human_count","zombie_count"
31,1.0,196,14
31,2.0,195,15
31,3.0,193,17
31,4.0,193,17
31,5.0,192,18
31,6.0,190,20
31,7.0,189,21
31,8.0,187,23
31,9.0,186,24
31,10.0,186,24
31,11.0,184,26
31,12.0,183,27
31,13.0,182,28
31,14.0,180,30
31,15.0,176,34
31,16.0,174,36
31,17.0,170,40
31,18.0,169,41
31,19.0,166,44
31,20.0,164,46
31,21.0,163,47
31,22.0,162,48
31,23.0,159,51
31,24.0,158,52
31,25.0,156,54
31,26.0,153,57
31,27.0,151,59
31,28.0,150,60
31,29.0,148,62
31,30.0,146,64
31,31.0,139,71
31,32.0,138,72
31,33.0,134,76
31,34.0,129,81
31,35.0,126,84
31,36.0,123,87
31,37.0,120,90
31,38.0,118,92
31,39.0,116,94
31,40.0,116,94
31,41.0,116,94
31,42.0,115,95
31,43.0,112,98
31,44.0,111,99
31,45.0,111,99
31,46.0,111,99
31,47.0,109,101
31,48.0,106,104
31,49.0,103,107
31,50.0,103,107
31,51.0,102,108
31,52.0,100,110
31,53.0,98,112
31,54.0,94,116
31,55.0,91,119
31,56.0,90,120
31,57.0,90,120
31,58.0,88,122
31,59.0,86,124
31,60.0,82,128
31,61.0,81,129
31,62.0,79,131
31,63.0,78,132
31,64.0,75,135
31,65.0,75,135
31,66.0,71,139
31,67.0,68,142
31,68.0,65,145
31,69.0,59,151
31,70.0,55,155
31,71.0,53,157
31,72.0,50,160
31,73.0,47,163
31,74.0,44,166
31,75.0,40,170
31,76.0,37,173
31,77.0,35,175
31,78.0,35,175
31,79.0,32,178
31,80.0,32,178
31,81.0,31,179
31,82.0,27,183
31,83.0,25,185
31,84.0,24,186
31,85.0,24,186
31,86.0,21,189
31,87.0,20,190
31,88.0,20,190
31,89.0,20,190
31,90.0,19,191
31,91.0,18,192
31,92.0,18,192
31,93.0,16,194
31,94.0,15,195
31,95.0,14,196
31,96.0,13,197
31,97.0,13,197
31,98.0,12,198
31,99.0,12,198
31,100.0,12,198
31,101.0,12,198
31,102.0,11,199
31,103.0,11,199
31,104.0,10,200
31,105.0,10,200
31,106.0,10,200
31,107.0,10,200
31,108.0,10,200
31,109.0,9,201
31,110.0,9,201
31,111.0,9,201
31,112.0,9,201
31,113.0,9,201
31,114.0,9,201
31,115.0,8,202
31,116.0,7,203
31,117.0,7,203
31,118.0,6,204
31,119.0,6,204
31,120.0,6,204
31,121.0,6,204
31,122.0,4,206
31,123.0,4,206
31,124.0,4,206
31,125.0,4,206
31,126.0,4,206
31,127.0,4,206
31,128.0,4,206
31,129.0,4,206
31,130.0,4,206
31,131.0,4,206
31,132.0,3,207
31,133.0,3,207
31,134.0,3,207
31,135.0,3,207
31,136.0,2,208
31,137.0,2,208
31,138.0,2,208
31,139.0,2,208
31,140.0,2,208
31,141.0,2,208
31,142.0,2,208
31,143.0,2,208
31,144.0,2,208
31,145.0,2,208
31,146.0,2,208
31,147.0,2,208
31,148.0,2,208
31,149.0,2,208
31,150.0,2,208
