"run","tick","AgentType","X","Y"
3,1.0,"HUMAN",47,18
3,1.0,"HUMAN",40,40
3,1.0,"HUMAN",11,32
3,1.0,"HUMAN",9,44
3,1.0,"HUMAN",27,10
3,1.0,"HUMAN",49,48
3,1.0,"HUMAN",0,36
3,1.0,"HUMAN",6,44
3,1.0,"HUMAN",39,41
3,1.0,"HUMAN",16,3
3,1.0,"HUMAN",37,44
3,1.0,"HUMAN",16,23
3,1.0,"HUMAN",8,2
3,1.0,"HUMAN",19,42
3,1.0,"HUMAN",1,35
3,1.0,"HUMAN",27,4
3,1.0,"HUMAN",45,10
3,1.0,"HUMAN",45,2
3,1.0,"HUMAN",4,36
3,1.0,"HUMAN",20,3
3,1.0,"HUMAN",18,48
3,1.0,"HUMAN",33,34
3,1.0,"HUMAN",16,48
3,1.0,"HUMAN",10,20
3,1.0,"HUMAN",30,24
3,1.0,"ZOMBIE",26,13
3,1.0,"HUMAN",39,38
3,1.0,"HUMAN",33,17
3,1.0,"HUMAN",3,1
3,1.0,"HUMAN",38,49
3,1.0,"HUMAN",24,32
3,1.0,"HUMAN",5,30
3,1.0,"HUMAN",42,14
3,1.0,"HUMAN",9,36
3,1.0,"HUMAN",19,46
3,1.0,"HUMAN",29,31
3,1.0,"HUMAN",24,41
3,1.0,"HUMAN",30,40
3,1.0,"HUMAN",41,36
3,1.0,"HUMAN",44,16
3,1.0,"HUMAN",38,39
3,1.0,"HUMAN",4,10
3,1.0,"HUMAN",25,27
3,1.0,"HUMAN",36,28
3,1.0,"HUMAN",40,10
3,1.0,"HUMAN",44,42
3,1.0,"HUMAN",17,32
3,1.0,"HUMAN",35,21
3,1.0,"HUMAN",37,9
3,1.0,"HUMAN",29,28
3,1.0,"HUMAN",48,33
3,1.0,"HUMAN",36,21
3,1.0,"HUMAN",25,17
3,1.0,"HUMAN",10,42
3,1.0,"HUMAN",41,4
3,1.0,"HUMAN",39,14
3,1.0,"HUMAN",21,23
3,1.0,"HUMAN",28,6
3,1.0,"HUMAN",29,24
3,1.0,"ZOMBIE",48,5
3,1.0,"HUMAN",24,16
3,1.0,"HUMAN",10,24
3,1.0,"HUMAN",33,25
3,1.0,"HUMAN",44,25
3,1.0,"HUMAN",20,18
3,1.0,"HUMAN",33,10
3,1.0,"HUMAN",20,26
3,1.0,"HUMAN",1,43
3,1.0,"HUMAN",34,20
3,1.0,"HUMAN",44,18
3,1.0,"HUMAN",33,37
3,1.0,"HUMAN",48,7
3,1.0,"HUMAN",30,45
3,1.0,"HUMAN",19,11
3,1.0,"HUMAN",16,18
